trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Fasting blood glucose	ebi-a-GCST005186	phenotype	opengwas	EUR	58074	22	fasting blood glucose measurement	ebi-a-GCST000568	TRUE
Fasting blood insulin	ebi-a-GCST005185	phenotype	opengwas	EUR	51750	3	fasting blood insulin measurement	ebi-a-GCST000571	TRUE
Rheumatoid arthritis	ebi-a-GCST90018910	phenotype	opengwas	EUR	417256	25	rheumatoid arthritis	ebi-a-GCST000679,ebi-a-GCST002318,ebi-a-GCST90013534	FALSE
HDL cholesterol	ebi-a-GCST90018956	phenotype	opengwas	EUR	315133	278	high density lipoprotein cholesterol measurement	ebi-a-GCST000755,ebi-a-GCST002223,ebi-a-GCST005058	TRUE
Triglycerides	ebi-a-GCST90018975	phenotype	opengwas	EUR	343992	249	triglyceride measurement	ebi-a-GCST000758,ebi-a-GCST002216	TRUE
LDL cholesterol	ebi-a-GCST90018961	phenotype	opengwas	EUR	343621	167	low density lipoprotein cholesterol measurement	ebi-a-GCST000759,ebi-a-GCST002222,ebi-a-GCST005068	TRUE
Cholesterol, total	ebi-a-GCST000760	phenotype	opengwas	EUR	100184	57	total cholesterol measurement	ebi-a-GCST002221,ebi-a-GCST005065	FALSE
Openness	ebi-a-GCST000922	phenotype	opengwas	EUR	17375	1	openness measurement	""	TRUE
Ulcerative colitis	ebi-a-GCST90018933	phenotype	opengwas	EUR	417932	21	ulcerative colitis	ebi-a-GCST000964,ebi-a-GCST90020072	FALSE
Coronary heart disease	ebi-a-GCST000998	phenotype	opengwas	EUR	86995	15	coronary artery disease	""	TRUE
Proinsulin levels	ebi-a-GCST001212	phenotype	opengwas	EUR	10701	8	insulin measurement	""	TRUE
Obesity	ebi-a-GCST001475	phenotype	opengwas	EUR	13848	6	obesity	""	TRUE
Osteoarthritis	ebi-a-GCST001592	phenotype	opengwas	EUR	18419	1	osteoarthritis	""	TRUE
Gout	ebi-a-GCST001790	phenotype	opengwas	EUR	69374	2	gout	""	TRUE
Urate levels	ebi-a-GCST90025965	phenotype	opengwas	EUR	437354	325	urate measurement	ebi-a-GCST001791,ebi-a-GCST90026001	TRUE
Intelligence (childhood)	ebi-a-GCST001837	phenotype	opengwas	EUR	12441	0	intelligence	""	TRUE
Alzheimer's disease (late onset)	ebi-a-GCST002245	phenotype	opengwas	EUR	55134	15	Alzheimer disease	""	TRUE
Urinary uromodulin levels	ebi-a-GCST002376	phenotype	opengwas	EUR	10884	2	urinary uromodulin measurement	""	TRUE
Body mass index	ebi-a-GCST90029007	phenotype	opengwas	EUR	532396	489	body mass index	ebi-a-GCST002783,ebi-a-GCST006368,ebi-a-GCST006802,ebi-a-GCST90018947,ebi-a-GCST90025994	TRUE
Neuroticism	ebi-a-GCST90029028	phenotype	opengwas	EUR	393411	112	neurotic disorder	ebi-a-GCST002920,ebi-a-GCST003770,ebi-a-GCST005232,ebi-a-GCST005327,ebi-a-GCST006327	TRUE
Coronary artery disease	ebi-a-GCST003116	phenotype	opengwas	EUR	141217	42	coronary artery disease	""	TRUE
Primary biliary cholangitis	ebi-a-GCST90061440	phenotype	opengwas	EUR	24510	47	primary biliary cirrhosis	ebi-a-GCST003129	TRUE
Systemic lupus erythematosus	ebi-a-GCST90018917	phenotype	opengwas	EUR	482911	5	systemic lupus erythematosus	ebi-a-GCST003156	FALSE
circulating leptin levels	ebi-a-GCST003367	phenotype	opengwas	EUR	33987	0	leptin measurement	ebi-a-GCST90012076	FALSE
circulating leptin levels adjusted for BMI	ebi-a-GCST003368	phenotype	opengwas	EUR	33987	2	BMI-adjusted leptin measurement	""	TRUE
Glomerular filtration rate (creatinine)	ebi-a-GCST003372	phenotype	opengwas	EUR	133413	46	creatinine measurement,glomerular filtration rate	""	TRUE
Glomerular filtration rate in diabetics (creatinine)	ebi-a-GCST003373	phenotype	opengwas	EUR	11522	0	creatinine measurement,glomerular filtration rate	""	TRUE
Chronic kidney disease	ebi-a-GCST003374	phenotype	opengwas	EUR	117165	4	chronic kidney disease	""	TRUE
Glomerular filtration rate (cystatin C)	ebi-a-GCST003375	phenotype	opengwas	EUR	32834	5	glomerular filtration rate,cystatin C measurement	""	TRUE
Response to lithium treatment in bipolar disorder (dichotomous phenotype)	ebi-a-GCST003378	phenotype	opengwas	EUR	2343	0	response to lithium ion	ebi-a-GCST012486	TRUE
Response to lithium treatment in bipolar disorder (dichotomous phenotype)	ebi-a-GCST012486	phenotype	opengwas	EUR	2343	0	response to lithium ion	ebi-a-GCST012486	TRUE
Parental longevity (father's age at death)	ebi-a-GCST006700	phenotype	opengwas	EUR	317652	5	parental longevity	ebi-a-GCST003392	TRUE
Parental longevity (combined parental age at death)	ebi-a-GCST006702	phenotype	opengwas	EUR	208118	7	parental longevity	ebi-a-GCST003394	TRUE
Parental extreme longevity (95 years and older)	ebi-a-GCST003395	phenotype	opengwas	EUR	42273	1	parental longevity	""	TRUE
Glomerular filtration rate in non diabetics (creatinine)	ebi-a-GCST003401	phenotype	opengwas	EUR	118448	46	creatinine measurement,glomerular filtration rate	""	TRUE
Body fat percentage	ebi-a-GCST003435	phenotype	opengwas	EUR	65831	10	body fat percentage	""	TRUE
Periodontal disease-related phenotype (Socransky)	ebi-a-GCST003484	phenotype	opengwas	EUR	975	6	periodontal measurement	""	TRUE
Multiple sclerosis	ebi-a-GCST003566	phenotype	opengwas	EUR	15283	22	multiple sclerosis	""	TRUE
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	ebi-a-GCST003658	phenotype	opengwas	EUR	16753	1	insulin sensitivity measurement,body mass index	""	TRUE
Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	ebi-a-GCST003659	phenotype	opengwas	EUR	16753	14	insulin sensitivity measurement,body mass index	""	TRUE
Bipolar disorder	ebi-a-GCST003724	phenotype	opengwas	EUR	34950	7	bipolar disorder	""	TRUE
Barrett's esophagus	ebi-a-GCST90000515	phenotype	opengwas	EUR	56429	16	Barrett's esophagus	ebi-a-GCST003738	TRUE
Esophageal adenocarcinoma	ebi-a-GCST003739	phenotype	opengwas	EUR	21271	4	esophageal adenocarcinoma	""	TRUE
Barrett's esophagus  or Esophageal adenocarcinoma	ebi-a-GCST003740	phenotype	opengwas	EUR	27438	14	esophageal adenocarcinoma,Barrett's esophagus	""	TRUE
Subjective well-being	ebi-a-GCST003766	phenotype	opengwas	EUR	298420	1	wellbeing measurement	""	TRUE
Depression	ebi-a-GCST90018833	phenotype	opengwas	EUR	449414	0	unipolar depression	ebi-a-GCST003769	FALSE
Chronotype	ebi-a-GCST003837	phenotype	opengwas	EUR	127898	13	circadian rhythm	""	TRUE
Sleep duration	ebi-a-GCST003839	phenotype	opengwas	EUR	127573	3	sleep duration	""	TRUE
Intraocular pressure	ebi-a-GCST004074	phenotype	opengwas	EUR	29578	14	intraocular pressure measurement	""	TRUE
Vertical cup-disc ratio	ebi-a-GCST004075	phenotype	opengwas	EUR	23899	24	cup-to-disc ratio measurement	""	TRUE
Optic disc area	ebi-a-GCST004076	phenotype	opengwas	EUR	22504	13	optic disc area measurement	""	TRUE
Optic cup area	ebi-a-GCST004137	phenotype	opengwas	EUR	22484	52	optic cup area measurement	""	TRUE
Intelligence	ebi-a-GCST006250	phenotype	opengwas	EUR	269867	165	intelligence	ebi-a-GCST004364	TRUE
CTACK levels	ebi-a-GCST004420	phenotype	opengwas	EUR	3631	3	chemokine (C-C motif) ligand 27 measurement	""	TRUE
beta-nerve growth factor levels	ebi-a-GCST90012042	phenotype	opengwas	EUR	21758	0	beta-nerve growth factor measurement	ebi-a-GCST004421,ebi-a-GCST90000440	FALSE
Vascular endothelial growth factor levels	ebi-a-GCST90011995	phenotype	opengwas	EUR	21758	6	vascular endothelial growth factor measurement	ebi-a-GCST004422	TRUE
Macrophage Migration Inhibitory Factor levels	ebi-a-GCST004423	phenotype	opengwas	EUR	3494	1	macrophage migration inhibitory factor measurement	""	TRUE
TRAIL levels	ebi-a-GCST004424	phenotype	opengwas	EUR	8186	7	TNF-related apoptosis-inducing ligand measurement	""	TRUE
Tumor necrosis factor beta levels	ebi-a-GCST004425	phenotype	opengwas	EUR	1559	1	tumor necrosis factor beta measurement	ebi-a-GCST90000499	TRUE
Tumor necrosis factor alpha levels	ebi-a-GCST004426	phenotype	opengwas	EUR	3454	0	tumor necrosis factor-alpha measurement	""	TRUE
Stromal-cell-derived factor 1 alpha levels	ebi-a-GCST004427	phenotype	opengwas	EUR	5998	0	stromal cell-derived factor 1 alpha measurement	""	TRUE
Stem cell growth factor beta levels	ebi-a-GCST004428	phenotype	opengwas	EUR	3682	5	stem Cell Growth Factor beta measurement	""	TRUE
Stem cell factor levels	ebi-a-GCST90012023	phenotype	opengwas	EUR	21758	14	stem Cell Factor measurement	ebi-a-GCST004429,ebi-a-GCST90000493,ebi-a-GCST90010169	TRUE
Interleukin-16 levels	ebi-a-GCST004430	phenotype	opengwas	EUR	3483	3	interleukin 16 measurement	""	TRUE
RANTES levels	ebi-a-GCST004431	phenotype	opengwas	EUR	3421	1	CCL5 measurement	""	TRUE
Platelet-derived growth factor BB levels	ebi-a-GCST004432	phenotype	opengwas	EUR	8293	4	platelet-derived growth factor BB measurement	""	TRUE
Macrophage inflammatory protein 1b levels	ebi-a-GCST004433	phenotype	opengwas	EUR	8243	7	macrophage inflammatory protein 1b measurement	""	TRUE
Macrophage inflammatory protein 1a levels	ebi-a-GCST004434	phenotype	opengwas	EUR	3522	0	macrophage inflammatory protein 1a measurement	""	TRUE
Monokine induced by gamma interferon levels	ebi-a-GCST004435	phenotype	opengwas	EUR	3685	1	monokine induced by gamma interferon measurement	""	TRUE
Macrophage colony stimulating factor levels	ebi-a-GCST004436	phenotype	opengwas	EUR	840	1	macrophage colony stimulating factor measurement	""	TRUE
Monocyte chemoattractant protein-3 levels	ebi-a-GCST90000485	phenotype	opengwas	EUR	982	0	monocyte chemotactic protein 3 measurement	ebi-a-GCST004437	FALSE
Monocyte chemoattractant protein-1 levels	ebi-a-GCST90012007	phenotype	opengwas	EUR	21758	6	monocyte chemotactic protein 1 measurement	ebi-a-GCST004438,ebi-a-GCST90000483,ebi-a-GCST90010236	TRUE
Interleukin-12p70 levels	ebi-a-GCST004439	phenotype	opengwas	EUR	8270	4	interleukin 12 measurement	""	TRUE
Interferon gamma-induced protein 10 levels	ebi-a-GCST004440	phenotype	opengwas	EUR	3685	2	C-X-C motif chemokine 10 measurement	""	TRUE
Interleukin-18 levels	ebi-a-GCST90012024	phenotype	opengwas	EUR	21758	8	interleukin 18 measurement	ebi-a-GCST004441,ebi-a-GCST90000477,ebi-a-GCST90010141	TRUE
Interleukin-17 levels	ebi-a-GCST004442	phenotype	opengwas	EUR	7760	1	interleukin 17 measurement	""	TRUE
