data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-AGRN:O00468:OID20786:v1,ukb-wes-az-00014641,UKB-PPP european AGRN,AGRN O00468 OID20786 v1 Inflammation
protein,UKB-PPP-european-TNFRSF4:P43489:OID20653:v1,ukb-wes-az-00013951,UKB-PPP european TNFRSF4,TNFRSF4 P43489 OID20653 v1 Inflammation
protein,UKB-PPP-european-CPTP:Q5TA50:OID30106:v1,ukb-wes-az-00014578,UKB-PPP european CPTP,CPTP Q5TA50 OID30106 v1 CardiometabolicII
protein,UKB-PPP-european-MXRA8:Q9BRK3:OID30583:v1,ukb-wes-az-00012893,UKB-PPP european MXRA8,MXRA8 Q9BRK3 OID30583 v1 InflammationII
protein,UKB-PPP-european-VWA1:Q6PCB0:OID21421:v1,ukb-wes-az-00014113,UKB-PPP european VWA1,VWA1 Q6PCB0 OID21421 v1 Oncology
protein,UKB-PPP-european-NADK:O95544:OID20178:v1,ukb-wes-az-00012921,UKB-PPP european NADK,NADK O95544 OID20178 v1 Cardiometabolic
protein,UKB-PPP-european-TNFRSF14:Q92956:OID20783:v1,ukb-wes-az-00013944,UKB-PPP european TNFRSF14,TNFRSF14 Q92956 OID20783 v1 Inflammation
protein,UKB-PPP-european-TP73:O15350:OID30879:v1,ukb-wes-az-00013979,UKB-PPP european TP73,TP73 O15350 OID30879 v1 NeurologyII
protein,UKB-PPP-european-PER3:P56645:OID30511:v1,ukb-wes-az-00013163,UKB-PPP european PER3,PER3 P56645 OID30511 v1 InflammationII
protein,UKB-PPP-european-TNFRSF9:Q07011:OID20985:v1,ukb-wes-az-00013954,UKB-PPP european TNFRSF9,TNFRSF9 Q07011 OID20985 v1 Neurology
protein,UKB-PPP-european-PARK7:Q99497:OID21160:v1,ukb-wes-az-00013105,UKB-PPP european PARK7,PARK7 Q99497 OID21160 v1 Neurology
protein,UKB-PPP-european-ENO1:P06733:OID21037:v1,ukb-wes-az-00014872,UKB-PPP european ENO1,ENO1 P06733 OID21037 v1 Neurology
protein,UKB-PPP-european-CA6:P23280:OID21096:v1,ukb-wes-az-00014210,UKB-PPP european CA6,CA6 P23280 OID21096 v1 Neurology
protein,UKB-PPP-european-CLSTN1:O94985:OID20874:v1,ukb-wes-az-00014513,UKB-PPP european CLSTN1,CLSTN1 O94985 OID20874 v1 Neurology
protein,UKB-PPP-european-NMNAT1:Q9HAN9:OID20913:v1,ukb-wes-az-00012992,UKB-PPP european NMNAT1,NMNAT1 Q9HAN9 OID20913 v1 Neurology
protein,UKB-PPP-european-RBP7:Q96R05:OID31526:v1,ukb-wes-az-00013418,UKB-PPP european RBP7,RBP7 Q96R05 OID31526 v1 OncologyII
protein,UKB-PPP-european-PGD:P52209:OID30344:v1,ukb-wes-az-00013171,UKB-PPP european PGD,PGD P52209 OID30344 v1 CardiometabolicII
protein,UKB-PPP-european-DFFA:O00273:OID20620:v1,ukb-wes-az-00014737,UKB-PPP european DFFA,DFFA O00273 OID20620 v1 Inflammation
protein,UKB-PPP-european-EXOSC10:Q01780:OID30083:v1,ukb-wes-az-00014928,UKB-PPP european EXOSC10,EXOSC10 Q01780 OID30083 v1 CardiometabolicII
protein,UKB-PPP-european-ANGPTL7:O43827:OID21412:v1,ukb-wes-az-00012280,UKB-PPP european ANGPTL7,ANGPTL7 O43827 OID21412 v1 Oncology
protein,UKB-PPP-european-DRAXIN:Q8NBI3:OID20917:v1,ukb-wes-az-00014793,UKB-PPP european DRAXIN,DRAXIN Q8NBI3 OID20917 v1 Neurology
protein,UKB-PPP-european-NPPB:P16860:OID20049:v1,ukb-wes-az-00013011,UKB-PPP european NPPB,NPPB P16860 OID20049 v1 Cardiometabolic
protein,UKB-PPP-european-NTproBNP:NTproBNP:OID20125:v1,,UKB-PPP european NPPB,
