id_pattern,data_type,source,data_format,bespoke_parsing,data_location,ancestry,reference_build,p_value_threshold,variant_type,metadata_type,coverage
ebi-a-*,phenotype,ebi_catalog,opengwas,none,/local-scratch/data/opengwas/igd,EUR,GRCh37,1.5e-4,common,json,dense
ukb-b-*,phenotype,ukb,opengwas,none,/local-scratch/data/opengwas/igd,EUR,GRCh37,1.5e-4,common,json,dense
ukb-d-*,phenotype,ukb,opengwas,none,/local-scratch/data/opengwas/igd,EUR,GRCh37,1.5e-4,common,json,dense
*,gene_expression,brain_meta,besd,none,/local-scratch/data/hg38/BrainMeta-cis-eQTL,EUR,GRCh38,1.5e-4,common,json,dense
*,gene_expression,brain_emeta,besd,none,/local-scratch/data/hg38/Brain-eMeta,EUR,GRCh38,1.5e-4,common,json,dense
*,phenotype,genebass,tsv,none,/local-scratch/data/hg38/rare/genebass,EUR,GRCh38,1.5e-4,rare_exome,tsv,dense
*,phenotype,backman,tsv,none,/local-scratch/data/hg38/rare/backman,EUR,GRCh38,1.5e-4,rare_exome,tsv,dense
*,protein,az_exwas,tsv,none,/local-scratch/data/hg38/rare/azexwas/protein,EUR,GRCh38,1.5e-4,rare_exome,tsv,dense
*,phenotype,az_exwas,tsv,none,/local-scratch/data/hg38/rare/azexwas/phenotype,EUR,GRCh38,1.5e-4,rare_exome,tsv,dense
*,gene_expression,gtex,besd,none,/local-scratch/data/hg38/GTEx-eQTL-v10,EUR,GRCh38,1.5e-4,common,json,dense
*,splice_variant,gtex,besd,gtex_sqtl,/local-scratch/data/hg38/GTEx-sQTL-v10,EUR,GRCh38,1.5e-4,common,json,dense
*,gene_expression,onek1k,besd,none,/local-scratch/data/hg38/onek1k,EUR,GRCh38,1.5e-4,common,json,dense
*,gene_expression,eqtlgen,besd,none,/local-scratch/data/hg38/eqtlgen,EUR,GRCh38,1.5e-4,common,json,dense
*,methylation,godmc,besd,godmc,/local-scratch/data/hg38/godmc,EUR,GRCh38,1.5e-4,common,json,sparse
european*,protein,ukb_ppp,besd,none,/local-scratch/data/hg38/ukb-ppp,EUR,GRCh38,1.5e-4,common,json,dense
cis*,gene_expression,interval,besd,none,/local-scratch/data/hg38/interval-eQTL,EUR,GRCh38,1.5e-4,common,json,dense
cis*,splice_variant,interval,besd,interval_sqtl,/local-scratch/data/hg38/interval-sQTL,EUR,GRCh38,1.5e-4,common,json,dense
trans*,gene_expression,interval,besd,none,/local-scratch/data/hg38/interval-eQTL,EUR,GRCh38,1.5e-4,common,json,sparse
trans*,splice_variant,interval,besd,interval_sqtl,/local-scratch/data/hg38/interval-sQTL,EUR,GRCh38,1.5e-4,common,json,sparse
