source,name,url,doi
ebi_catalog,EBI GWAS Catalog,https://opengwas.io/,https://doi.org/10.1093/nar/gkae1070
brain_meta,Brain Meta,https://yanglab.westlake.edu.cn/data/brainmeta,https://doi.org/10.1038/s41588-022-01154-4
brain_emeta,Brain eMeta,https://www.nature.com/articles/s41467-018-04558-1,https://doi.org/10.1038/s41467-018-04558-1
ukb_ppp,UK Biobank Proteomics,https://doi.org/10.1038/s41586-023-06592-6,https://doi.org/10.1038/s41586-023-06592-6
ukb,UK Biobank,https://opengwas.io/,https://doi.org/10.1371/journal.pmed.1001779
backman,UK Biobank ExWAS Complex Traits,https://www.nature.com/articles/s41586-021-04103-z,https://doi.org/10.1038/s41586-021-04103-z
genebass,UK Biobank ExWAS Genebass,https://app.genebass.org/,https://doi.org/10.1016/j.xgen.2022.100168
az_exwas,UK Biobank AstraZeneca PheWAS Portal v5.5,https://azphewas.com/,https://doi.org/10.1038/s41586-023-06547-x
gtex,GTEx Atlas,https://www.gtexportal.org/home/downloads/adult-gtex/overview,https://doi.org/10.1126/science.aaz1776
onek1k,OneK1K,https://onek1k.org/,https://doi.org/10.1126/science.abf3041
godmc,GoDMC,http://www.godmc.org.uk/,https://doi.org/10.1038/s41588-021-00923-x
eqtlgen,eQTLGen,https://www.eqtlgen.org/,https://doi.org/10.1038/s41588-021-00913-z
