"id","trait","note"
"UKB-b-10001","Operative procedures - secondary OPCS: Z84.6 Knee joint","41210#Z846: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10002","Manic/hyper symptoms: All of the above","6156#15: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10003","Treatment/medication code: becotide 50 inhaler","20003#1140862382: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10008","Treatment/medication code: atorvastatin","20003#1141146234: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10011","Townsend deprivation index at recruitment","189: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10061","Diagnoses - secondary ICD10: Z50.1 Other physical therapy","41204#Z501: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10066","Eye problems/disorders: Other serious eye condition","6148#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10093","Tense / 'highly strung'","1990: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10097","Operation code: skin operation or plastic surgery","20004#1474: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10098","Non-cancer illness code, self-reported: iron deficiency anaemia","20002#1330: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10102","Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions","41202#Z090: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10144","Diagnoses - secondary ICD10: K21.0 Gastro-oesophageal reflux disease with oesophagitis","41204#K210: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1016","Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter","41200#M293: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10162","Job involve night shift work","3426: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10164","Operative procedures - main OPCS: X31.2 Intravenous pyelography","41200#X312: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10167","Operation code: vasectomy","20004#1218: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10169","Guilty feelings","2030: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10181","Eye problems/disorders: Diabetes related eye disease","6148#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10188","Vitamin and mineral supplements: Vitamin B","6155#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1020","Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC","41210#Z705: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1021","Operation code: muscle/soft tissue surgery","20004#1297: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10215","Hand grip strength (right)","47: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10224","Non-cancer illness code, self-reported: meningitis","20002#1247: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10248","Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face","40006#C443: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10250","Cylindrical power (right)","5087: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10258","Treatment/medication code: paroxetine","20003#1140867888: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10263","Operative procedures - secondary OPCS: Y80.9 Unspecified general anaesthetic","41210#Y809: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10272","Treatment/medication code: digoxin","20003#2038459814: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10281","Operative procedures - secondary OPCS: Z89.6 Finger NEC","41210#Z896: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10284","Treatment/medication code: multivitamins","20003#1140852976: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10289","Operation code: large bowel resection +/- colostomy","20004#1461: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10298","Operative procedures - secondary OPCS: W28.1 Application of internal fixation to bone NEC","41210#W281: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
