ti_uid	target	indication_mesh_id	indication_mesh_term	combined_max_phase	trait_gpmap	trait_name_gpmap	gpmap_support	coloc_groups	pairwisecoloc_support	preinfomap_support
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ebi-a-GCST90012105	Estradiol levels	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ebi-a-GCST90018799	Breast cancer	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-d-C3-BREAST-3	Malignant neoplasm of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-12227	Illnesses of siblings: Breast cancer	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-13584	Illnesses of mother: Breast cancer	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-8549	Diagnoses - main ICD10: D24 Benign neoplasm of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-16890	Cancer code, self-reported: breast cancer	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-20142	Diagnoses - secondary ICD10: Z85.3 Personal history of malignant neoplasm of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-7643	Diagnoses - secondary ICD10: Z80.3 Family history of malignant neoplasm of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-16641	Diagnoses - secondary ICD10: Z90.1 Acquired absence of breast(s)	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-16030	Operative procedures - main OPCS: B28.3 Excision of lesion of breast NEC	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-6352	Type of cancer: ICD10: C50.4 Upper-outer quadrant of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-12115	Diagnoses - main ICD10: C50.4 Upper-outer quadrant of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-7609	Operative procedures - main OPCS: B28.2 Partial excision of breast NEC	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-19041	Type of cancer: ICD10: C50.9 Breast, unspecified	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-20359	Operative procedures - main OPCS: B28.5 Wire guided partial excision of breast	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-3586	Operation code: breast surgery	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-2307	Diagnoses - main ICD10: C50.9 Breast, unspecified	FALSE	""	FALSE	FALSE
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	ukb-b-9107	Diagnoses - secondary ICD10: C50.9 Breast, unspecified	FALSE	""	FALSE	FALSE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST004744	Lung adenocarcinoma	FALSE	""	FALSE	FALSE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST004746	Small cell lung carcinoma	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST90018875	Lung cancer	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ukb-b-14521	Illnesses of father: Lung cancer	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ukb-b-20176	Illnesses of mother: Lung cancer	FALSE	""	FALSE	FALSE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ukb-d-LUNG-CANCER-MESOT	Lung cancer and mesothelioma	FALSE	""	FALSE	FALSE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST004747	Lung cancer in never smokers	FALSE	""	FALSE	FALSE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST004749	Lung cancer in ever smokers	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST90013922	Any parental history of lung cancer (Firth correction)	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ebi-a-GCST90013972	Any parental history of lung cancer (SPA correction)	FALSE	""	FALSE	TRUE
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	ukb-b-18798	Type of cancer: ICD10: C34.1 Upper lobe, bronchus or lung	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ebi-a-GCST90086048	Cancer	FALSE	""	FALSE	TRUE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-660	Number of self-reported cancers	FALSE	""	FALSE	TRUE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-d-II-NEOPLASM	Neoplasms	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-d-D23	Diagnoses - main ICD10: D23 Other benign neoplasms of skin	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-5394	Reported occurrences of cancer	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-16345	Cancer year/age first occurred	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-14956	Type of cancer: ICD10: C54.1 Endometrium	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-d-C3-PRIMARY-LYMPHOID-HEMATOPOIETIC	Primary_lymphoid and hematopoietic malignant neoplasms	FALSE	""	FALSE	TRUE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-8800	Interpolated Year when cancer first diagnosed	FALSE	""	FALSE	FALSE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-918	Type of cancer: ICD10: D06.9 Cervix, unspecified	FALSE	""	FALSE	TRUE
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	ukb-b-11484	Diagnoses - secondary ICD10: Z51.1 Chemotherapy session for neoplasm	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ebi-a-GCST90002244	Glycated hemoglobin levels	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ebi-a-GCST90025974	Hemoglobin A1c levels	TRUE	15379	TRUE	TRUE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-10753	Diabetes diagnosed by doctor	TRUE	15379	TRUE	TRUE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-12948	Non-cancer illness code, self-reported: diabetes	TRUE	15379	TRUE	TRUE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-18042	Illnesses of siblings: Diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-20211	Illnesses of father: Diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-16451	Illnesses of mother: Diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-16855	Cancer diagnosed by doctor	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-17006	Non-cancer illness code, self-reported: head injury	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-1763	Non-cancer illness code, self-reported: nasal/sinus disorder	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-7435	Age diabetes diagnosed	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ebi-a-GCST90014006	Glycated haemoglobin HbA1c levels (UKB data field 30750)	TRUE	15379	TRUE	TRUE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-8388	Started insulin within one year diagnosis of diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	ukb-b-11664	Diagnoses - secondary ICD10: R00.1 Bradycardia, unspecified	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST006867	Type 2 diabetes	TRUE	15379	TRUE	TRUE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST005216	Corrected insulin response adjusted for insulin sensitivity index	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90013892	Type 2 diabetes (Firth correction)	TRUE	15379	TRUE	TRUE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90013942	Type 2 diabetes (SPA correction)	TRUE	15379	TRUE	TRUE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90026412	Severe autoimmune type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90026416	Mild age-related type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90026415	Mild obesity-related type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90026414	Severe insulin-resistant type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST90026413	Severe insulin-deficient type 2 diabetes	FALSE	""	FALSE	FALSE
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	ebi-a-GCST003658	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	FALSE	""	FALSE	FALSE
ABCC9-D000505	ABCC9	D000505	Alopecia	Launched	ebi-a-GCST90029005	Balding type 1	FALSE	""	FALSE	FALSE
ABCC9-D000505	ABCC9	D000505	Alopecia	Launched	ebi-a-GCST90029006	Balding type 4	FALSE	""	FALSE	FALSE
ABCC9-D000506	ABCC9	D000506	Alopecia Areata	Launched	ebi-a-GCST90029005	Balding type 1	FALSE	""	FALSE	FALSE
ABCC9-D000506	ABCC9	D000506	Alopecia Areata	Launched	ebi-a-GCST90029006	Balding type 4	FALSE	""	FALSE	FALSE
ABL1-D015464	ABL1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Launched	ebi-a-GCST90000032	Myeloproliferative neoplasms	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ebi-a-GCST90018806	Chronic heart failure	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ebi-a-GCST009541	Heart failure	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ukb-d-I9-HEARTFAIL	Heart failure,strict	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ebi-a-GCST90012082	N-terminal prohormone brain natriuretic peptide levels	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ukb-d-I9-HEARTFAIL-NS	Heart failure, not strict	FALSE	""	FALSE	FALSE
ACE-D006333	ACE	D006333	Heart Failure	Launched	ukb-d-I50	Diagnoses - main ICD10: I50 Heart failure	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ebi-a-GCST90018963	Mean arterial pressure	TRUE	40461	TRUE	TRUE
ACE-D006973	ACE	D006973	Hypertension	Launched	ebi-a-GCST90018970	Pulse pressure	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ebi-a-GCST90029010	Diastolic blood pressure	TRUE	40461	TRUE	TRUE
ACE-D006973	ACE	D006973	Hypertension	Launched	ebi-a-GCST90029011	Systolic blood pressure	TRUE	40461	TRUE	TRUE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-1061	Age high blood pressure diagnosed	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-d-I9-HYPTENS	Hypertension	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-8746	Illnesses of siblings: High blood pressure	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-19456	Illnesses of father: High blood pressure	FALSE	""	TRUE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-18167	Illnesses of mother: High blood pressure	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-14057	Non-cancer illness code, self-reported: hypertension	TRUE	40461	TRUE	TRUE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-7582	Non-cancer illness code, self-reported: essential hypertension	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-6503	Systolic blood pressure, manual reading	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-18240	Diastolic blood pressure, manual reading	FALSE	""	FALSE	FALSE
ACE-D006973	ACE	D006973	Hypertension	Launched	ukb-b-13535	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia	FALSE	""	FALSE	FALSE
