trait_common,study_name_common,trait_rare,study_name_rare
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy",ukb-b-8080,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Hormone replacement therapy)",ukb-wes-gb-00002484
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill",ukb-b-9547,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Oral contraceptive pill or minipill)",ukb-wes-gb-00002485
Ongoing addiction to alcohol,ukb-d-20415,Ongoing addiction to alcohol - Yes (20415),ukb-wes-bm-00003061
Which eye(s) affected by astigmatism: Left eye,ukb-d-5855-2,Which eyes affected astigmatism - L eye (5855),ukb-wes-bm-00003068
malignant neoplasm of female genital organs,ukb-d-C3-FEMALE-GENITAL,Personal history of malignant neoplasm of genital organs (union),ukb-wes-az-00010067
FI7 : synonym,ukb-d-5001,FI7 synonym - Close (5001),ukb-wes-bm-00002156
Ever self-harmed,ukb-d-20480,Ever self harmed - Yes (20480),ukb-wes-bm-00000754
Type of cancer: ICD10: D05.1 Intraductal carcinoma in situ,ukb-b-4674,Type of Cancer: Intraductal carcinoma in situ of breast (40006),ukb-wes-bm-00000780
Corneal hysteresis (right),ukb-b-11480,Corneal_hysteresis_right_custom,ukb-wes-gb-00003711
Difficulty concentrating during worst depression,ukb-d-20435,Difficulty concentrating during worst depression - Yes (20435),ukb-wes-bm-00001412
Red blood cell (erythrocyte) count,ukb-d-30010-irnt,Red blood cell erythrocyte count (30010),ukb-wes-bm-00003045
Illnesses of siblings: Alzheimer's disease/dementia,ukb-b-14043,Illnesses of siblings 10 Alzheimers disease dementia (20111),ukb-wes-bm-00002833
Sleeplessness / insomnia,ukb-b-3957,Sleeplessness insomnia - Usually (1200),ukb-wes-bm-00000768
White blood cell (leukocyte) count,ukb-d-30000-irnt,White blood cell leukocyte count (30000),ukb-wes-bm-00001994
"Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder",ukb-d-20544-15,Mental health problems ever diagnosed by a professional 15 Anxiety nerves or generalized anxiety disorder (20544),ukb-wes-bm-00000783
"Congenital malformations, deformations and chromosomal abnormalities",ukb-d-XVII-MALFORMAT-ABNORMAL,Chapter XVII Congenital malformations| deformations and chromosomal abnormalities (union),ukb-wes-az-00006281
"Nerve, nerve root and plexus disorders",ukb-d-G6-NERPLEX,G50-G59 Nerve| nerve root and plexus disorders,ukb-wes-az-00002443
Mean platelet (thrombocyte) volume,ukb-d-30100-irnt,Mean platelet thrombocyte volume (30100),ukb-wes-bm-00002232
Previously smoked cigarettes on most/all days,ukb-d-5959,Past tobacco smoking - Smoked on most or all days (1249),ukb-wes-bm-00002379
Ever had refractive laser eye surgery: Both eyes,ukb-d-5325-4,Ever had laser eye surgery - Both eyes (5325),ukb-wes-bm-00002354
Frequency of inability to stop worrying during worst period of anxiety,ukb-d-20539,Frequency of inability to stop worrying during worst period of anxiety - Often (20539),ukb-wes-bm-00003097
Ever worried more than most people would in similar situation,ukb-d-20425,Ever worried more than most people would in similar situation - Yes (20425),ukb-wes-bm-00002607
Recent worrying too much about different things,ukb-d-20520,Recent worrying too much about different things - Nearly every day (20520),ukb-wes-bm-00003493
Mental health problems ever diagnosed by a professional: Depression,ukb-d-20544-11,Mental health problems ever diagnosed by a professional 11 Depression (20544),ukb-wes-bm-00001461
Contemplated self-harm in past year,ukb-d-20486,Contemplated self harm in past year - Yes (20486),ukb-wes-bm-00002767
"Hair colour (natural, before greying): Blonde",ukb-d-1747-1,Hair colour natural before greying - Blonde (1747),ukb-wes-bm-00000365
"Hair colour (natural, before greying): Light brown",ukb-d-1747-3,Hair colour natural before greying - Light brown (1747),ukb-wes-bm-00003239
"Hair colour (natural, before greying): Dark brown",ukb-d-1747-4,Hair colour natural before greying - Dark brown (1747),ukb-wes-bm-00001915
"Hair colour (natural, before greying): Black",ukb-d-1747-5,Hair colour natural before greying - Black (1747),ukb-wes-bm-00001258
Repeated disturbing thoughts of stressful experience in past month,ukb-d-20497,Repeated disturbing thoughts of stressful experience in past month - Extremely (20497),ukb-wes-bm-00000533
Actions taken following self-harm: Need hospital treatment (eg A&E),ukb-d-20554-3,Actions taken following self harm - Need hospital treatment eg A E (20554),ukb-wes-bm-00000557
Actions taken following self-harm: Receive help from friends / family / neighbours,ukb-d-20554-6,Actions taken following self harm - Receive help from friends family neighbours (20554),ukb-wes-bm-00001228
"Actions taken following self-harm: See anyone from psychiatric or mental health services, including liaison services",ukb-d-20554-1,Actions taken following self harm - See anyone from psychiatric or mental health services including liaison services (20554),ukb-wes-bm-00003272
Actions taken following self-harm: See own GP,ukb-d-20554-5,Actions taken following self harm - See own GP (20554),ukb-wes-bm-00003291
"Activities undertaken to treat anxiety: Other therapeutic activities such as mindfulness, yoga or art classes",ukb-d-20550-3,Activities undertaken to treat anxiety - Other therapeutic activities such as mindfulness yoga or art classes (20550),ukb-wes-bm-00000693
